1067,245
324,892
321,572
510,751
1728,546
1650,351
1455,576
1073,257
1056,522
875,388
1056,230
1042,493
1245,640
1469,603
1676,362
1742,531
1510,572
1305,395
1163,569
883,362
478,710
538,761
1233,645
1065,528
948,664
1444,582
1082,283
1061,632
544,714
1041,281
1036,457
814,296
813,402
1143,111
1277,409
1503,121
1481,530
1702,267
1514,131
1496,496
1310,349
1484,122
1162,116
1283,386
1305,357
1046,179
1139,96
1529,103
1511,479
1700,246
1802,313
1740,578
550,774
752,953
737,754
1176,683
1212,895
765,945
749,761
1227,890
1192,691
1163,696
1202,914
776,960
761,772
572,809
738,956
711,586
586,696
532,647
802,408
802,289
535,98
530,628
784,403
791,260
543,598
548,121
761,277
462,686
295,527
294,746
476,740
310,881
311,519
462,665
772,240
1367,651
1752,591
1810,356
1421,90
1121,81
827,321
833,652
600,693
703,610
726,1000
456,790
419,826
456,856
488,826
