278,444
648,716
1111,76
1508,516
1163,998
1112,94
1130,74
1303,248
1146,412
972,235
1081,93
1247,286
1144,391
1136,243
1228,151
1811,668
1512,528
1575,442
1549,421
1179,942
1161,591
1350,676
1195,893
1179,574
841,425
677,650
1135,759
1132,721
683,615
717,567
1127,669
1124,626
746,527
783,478
1122,582
1122,559
857,448
667,715
498,588
827,424
880,343
1158,427
1281,296
1198,201
1249,151
1542,412
1491,483
1393,371
1147,548
1143,433
884,358
853,415
1124,531
1118,437
1271,475
1414,374
1557,537
1813,654
1583,450
1545,503
1626,595
1793,671
1573,481
1600,446
1351,223
1286,286
1509,540
1403,689
1192,590
1184,440
1470,514
1382,415
1318,462
1442,496
1271,320
1167,432
1172,514
1112,498
1107,435
847,365
815,418
457,594
268,453
