284,86
1760,792
160,973
1226,551
280,103
248,951
1275,545
1813,802
210,980
1306,547
587,206
265,916
1272,516
607,199
578,262
290,125
261,898
548,259
1687,790
1787,779
1318,552
669,812
702,938
671,939
626,759
585,777
635,945
599,949
558,787
519,804
560,953
518,955
424,587
567,277
1251,597
1285,833
704,896
684,818
1228,603
1622,790
715,883
701,825
1269,815
1241,619
724,816
1429,802
1547,647
1627,688
1514,849
743,932
575,293
390,689
245,679
264,132
529,257
274,837
303,165
513,265
419,473
640,483
591,303
1133,554
652,484
718,724
1113,562
669,497
624,331
1048,527
674,476
640,351
604,471
572,326
406,690
666,703
616,493
238,476
228,929
46,1008
180,998
182,1045
137,1045
138,1003
