898,417
881,428
851,456
755,527
677,578
604,625
560,657
525,683
509,694
506,697
505,698
507,700
513,703
533,709
572,718
621,726
729,739
802,750
862,760
888,763
901,765
902,764
895,751
879,726
867,715
853,701
838,692
829,687
823,684
822,684
822,683
825,683
841,683
867,683
889,683
910,683
919,683
920,683
918,682
909,678
890,671
872,666
849,660
834,656
829,655
828,655
828,654
829,652
834,647
843,644
861,639
876,637
888,637
893,637
894,633
891,630
882,625
875,622
869,620
866,620
864,618
867,617
875,616
884,615
894,615
900,615
899,613
887,606
882,605
878,604
877,604
877,601
882,599
893,596
913,596
923,596
927,596
932,595
928,592
917,586
905,581
894,577
886,576
886,575
887,574
897,573
910,571
929,569
936,569
938,569
916,562
900,560
887,558
876,557
875,557
893,555
918,555
942,555
957,555
961,555
962,555
962,554
961,553
946,545
936,540
927,537
920,534
920,530
923,527
928,525
933,523
939,522
933,514
924,511
906,506
897,503
892,502
894,501
896,501
900,501
913,501
929,501
940,501
946,501
946,499
943,496
937,493
933,492
930,490
929,490
935,488
944,488
951,488
955,488
956,488
945,481
932,476
921,472
920,472
932,470
945,470
959,470
965,470
967,470
950,459
942,456
978,455
979,454
980,453
979,451
977,450
953,438
952,436
951,435
950,434
984,433
992,433
997,433
977,423
968,418
963,415
961,414
992,413
1002,413
1003,413
1003,412
978,392
972,391
962,388
952,381
952,380
953,380
998,374
995,371
992,370
986,367
983,365
983,364
991,363
995,362
991,360
985,357
998,356
1011,358
1030,358
1038,358
1039,357
992,336
989,336
988,335
1017,332
1024,332
1027,332
1027,331
1026,330
969,305
980,305
991,307
1013,308
996,294
994,295
993,297
991,299
991,300
990,301
990,302
990,303
990,304
990,305
991,306
992,307
993,308
994,308
995,308
